github.com/gogo/protobuf	v1.3.2
github.com/google/flatbuffers	v23.3.3+incompatible
github.com/kisielk/errcheck	v1.5.0
github.com/kisielk/gotool	v1.0.0
github.com/pascaldekloe/name	v1.0.1
github.com/yuin/goldmark	v1.2.1
golang.org/x/crypto	v0.0.0-20200622213623-75b288015ac9
golang.org/x/mod	v0.3.0
golang.org/x/net	v0.0.0-20201021035429-f5854403a974
golang.org/x/sync	v0.0.0-20201020160332-67f06af15bc9
golang.org/x/sys	v0.0.0-20200930185726-fdedc70b468f
golang.org/x/text	v0.3.3
golang.org/x/tools	v0.0.0-20210106214847-113979e3529a
golang.org/x/xerrors	v0.0.0-20200804184101-5ec99f83aff1
