github.com/bep/debounce	v1.2.1
github.com/fatih/color	v1.19.0
github.com/gdamore/encoding	v1.0.1
github.com/gdamore/tcell/v2	v2.13.8
github.com/google/go-querystring	v1.2.0
github.com/lucasb-eyer/go-colorful	v1.4.0
github.com/mattn/go-colorable	v0.1.14
github.com/mattn/go-isatty	v0.0.20
github.com/rivo/uniseg	v0.4.7
github.com/sahilm/fuzzy	v0.1.1
github.com/spf13/cobra	v1.10.2
github.com/spf13/pflag	v1.0.10
golang.org/x/sys	v0.42.0
golang.org/x/term	v0.41.0
golang.org/x/text	v0.35.0
gopkg.in/yaml.v3	v3.0.1
