github.com/coreos/go-systemd/v22	v22.5.0
github.com/davecgh/go-spew	v1.1.1
github.com/fergusstrange/embedded-postgres	v1.19.0
github.com/godbus/dbus/v5	v5.0.4
github.com/kr/pretty	v0.1.0
github.com/kr/pty	v1.1.1
github.com/kr/text	v0.1.0
github.com/lib/pq	v1.10.9
github.com/mattn/go-colorable	v0.1.13
github.com/mattn/go-isatty	v0.0.19
github.com/niemeyer/pretty	v0.0.0-20200227124842-a10e7caefd8e
github.com/pkg/errors	v0.9.1
github.com/pmezard/go-difflib	v1.0.0
github.com/rs/xid	v1.5.0
github.com/rs/zerolog	v1.31.0
github.com/stretchr/objx	v0.1.0
github.com/stretchr/testify	v1.7.0
github.com/xi2/xz	v0.0.0-20171230120015-48954b6210f8
github.com/yuin/goldmark	v1.3.5
go.uber.org/goleak	v1.1.12
golang.org/x/crypto	v0.0.0-20191011191535-87dc89f01550
golang.org/x/lint	v0.0.0-20190930215403-16217165b5de
golang.org/x/mod	v0.4.2
golang.org/x/net	v0.0.0-20210405180319-a5a99cb37ef4
golang.org/x/sync	v0.0.0-20210220032951-036812b2e83c
golang.org/x/sys	v0.13.0
golang.org/x/term	v0.0.0-20201126162022-7de9c90e9dd1
golang.org/x/text	v0.3.3
golang.org/x/tools	v0.1.5
golang.org/x/xerrors	v0.0.0-20200804184101-5ec99f83aff1
gopkg.in/check.v1	v1.0.0-20200227125254-8fa46927fb4f
gopkg.in/yaml.v3	v3.0.0-20200313102051-9f266ea9e77c
