github.com/golang/protobuf	v1.3.1
github.com/gorilla/websocket	v1.4.2
github.com/hashicorp/errwrap	v1.0.0
github.com/hashicorp/go-multierror	v1.1.1
github.com/json-iterator/go	v1.1.12
github.com/konsorten/go-windows-terminal-sequences	v1.0.1
github.com/modern-go/concurrent	v0.0.0-20180306012644-bacd9c7ef1dd
github.com/modern-go/reflect2	v1.0.2
github.com/pkg/errors	v0.8.1
github.com/sirupsen/logrus	v1.4.2
github.com/spf13/pflag	v1.0.5
github.com/vmihailenco/msgpack	v4.0.4+incompatible
golang.org/x/net	v0.0.0-20190603091049-60506f45cf65
golang.org/x/sys	v0.0.0-20220412211240-33da011f77ad
google.golang.org/appengine	v1.6.5
