bitbucket.org/creachadair/shell	v0.0.8
github.com/Azure/azure-sdk-for-go/sdk/security/keyvault/internal	v1.2.0
github.com/Azure/go-ansiterm	v0.0.0-20250102033503-faa5f7b0171c
github.com/Azure/go-autorest	v14.2.0+incompatible
github.com/Azure/go-autorest/autorest	v0.11.29
github.com/Azure/go-autorest/autorest/adal	v0.9.23
github.com/Azure/go-autorest/autorest/azure/auth	v0.5.12
github.com/Azure/go-autorest/autorest/azure/cli	v0.4.6
github.com/Azure/go-autorest/autorest/date	v0.3.0
github.com/Azure/go-autorest/logger	v0.2.1
github.com/Azure/go-autorest/tracing	v0.6.0
github.com/Azure/go-ntlmssp	v0.0.0-20221128193559-754e69321358
github.com/AzureAD/microsoft-authentication-extensions-for-go/cache	v0.1.1
github.com/AzureAD/microsoft-authentication-library-for-go	v1.7.2
github.com/DATA-DOG/go-sqlmock	v1.5.2
github.com/DataDog/datadog-go	v4.8.3+incompatible
github.com/GoogleCloudPlatform/cloudsql-proxy	v1.38.1
github.com/GoogleCloudPlatform/confidential-space/server	v0.0.0-20260522213940-e5c6d01a3007
github.com/GoogleCloudPlatform/grpc-gcp-go/grpcgcp	v1.6.0
github.com/GoogleCloudPlatform/opentelemetry-operations-go/detectors/gcp	v1.32.0
github.com/GoogleCloudPlatform/opentelemetry-operations-go/exporter/metric	v0.57.0
github.com/GoogleCloudPlatform/opentelemetry-operations-go/internal/cloudmock	v0.57.0
github.com/GoogleCloudPlatform/opentelemetry-operations-go/internal/resourcemapping	v0.57.0
github.com/Keyfactor/ejbca-go-client-sdk	v1.1.0
github.com/KimMachineGun/automemlimit	v0.7.5
github.com/Masterminds/goutils	v1.1.1
github.com/Masterminds/semver	v1.5.0
github.com/Masterminds/semver/v3	v3.4.0
github.com/Masterminds/sprig	v2.22.0+incompatible
github.com/Masterminds/sprig/v3	v3.3.0
github.com/Microsoft/go-winio	v0.6.2
github.com/NYTimes/gziphandler	v1.1.1
github.com/PuerkitoBio/goquery	v1.5.1
github.com/ThalesIgnite/crypto11	v1.2.5
github.com/VividCortex/ewma	v1.2.0
github.com/agnivade/levenshtein	v1.2.1
github.com/alecthomas/kingpin/v2	v2.4.0
github.com/alecthomas/units	v0.0.0-20240927000941-0f3dac36c52b
github.com/alessio/shellescape	v1.4.1
github.com/alibabacloud-go/alibabacloud-gateway-spi	v0.0.4
github.com/alibabacloud-go/cr-20160607	v1.0.1
github.com/alibabacloud-go/cr-20181201	v1.0.10
github.com/alibabacloud-go/darabonba-openapi	v0.2.1
github.com/alibabacloud-go/debug	v1.0.0
github.com/alibabacloud-go/endpoint-util	v1.1.1
github.com/alibabacloud-go/openapi-util	v0.1.0
github.com/alibabacloud-go/tea	v1.2.1
github.com/alibabacloud-go/tea-utils	v1.4.5
github.com/alibabacloud-go/tea-xml	v1.1.3
github.com/aliyun/credentials-go	v1.3.2
github.com/andres-erbsen/clock	v0.0.0-20160526145045-9e14626cd129
github.com/andybalholm/cascadia	v1.1.0
github.com/antihax/optional	v1.0.0
github.com/antlr4-go/antlr/v4	v4.13.0
github.com/arbovm/levenshtein	v0.0.0-20160628152529-48b4e1c0c4d0
github.com/armon/go-metrics	v0.4.1
github.com/armon/go-radix	v1.0.0
github.com/asaskevich/govalidator	v0.0.0-20230301143203-a9d515a09cc2
github.com/aws/aws-sdk-go	v1.55.5
github.com/aws/aws-sdk-go-v2	v1.42.1
github.com/aws/aws-sdk-go-v2/aws/protocol/eventstream	v1.7.14
github.com/aws/aws-sdk-go-v2/config	v1.32.18
github.com/aws/aws-sdk-go-v2/credentials	v1.19.17
github.com/aws/aws-sdk-go-v2/feature/ec2/imds	v1.18.23
github.com/aws/aws-sdk-go-v2/feature/rds/auth	v1.6.0
github.com/aws/aws-sdk-go-v2/feature/s3/manager	v1.20.12
github.com/aws/aws-sdk-go-v2/internal/configsources	v1.4.30
github.com/aws/aws-sdk-go-v2/internal/endpoints/v2	v2.7.30
github.com/aws/aws-sdk-go-v2/internal/ini	v1.8.4
github.com/aws/aws-sdk-go-v2/internal/v4a	v1.4.31
github.com/aws/aws-sdk-go-v2/service/acmpca	v1.48.0
github.com/aws/aws-sdk-go-v2/service/autoscaling	v1.69.0
github.com/aws/aws-sdk-go-v2/service/ec2	v1.313.0
github.com/aws/aws-sdk-go-v2/service/ecr	v1.55.3
github.com/aws/aws-sdk-go-v2/service/ecrpublic	v1.38.10
github.com/aws/aws-sdk-go-v2/service/eks	v1.89.0
github.com/aws/aws-sdk-go-v2/service/iam	v1.55.0
github.com/aws/aws-sdk-go-v2/service/internal/accept-encoding	v1.13.13
github.com/aws/aws-sdk-go-v2/service/internal/checksum	v1.9.23
github.com/aws/aws-sdk-go-v2/service/internal/presigned-url	v1.13.30
github.com/aws/aws-sdk-go-v2/service/internal/s3shared	v1.19.31
github.com/aws/aws-sdk-go-v2/service/kms	v1.54.0
github.com/aws/aws-sdk-go-v2/service/organizations	v1.52.0
github.com/aws/aws-sdk-go-v2/service/resourcegroupstaggingapi	v1.34.0
github.com/aws/aws-sdk-go-v2/service/rolesanywhere	v1.24.0
github.com/aws/aws-sdk-go-v2/service/s3	v1.105.0
github.com/aws/aws-sdk-go-v2/service/secretsmanager	v1.43.0
github.com/aws/aws-sdk-go-v2/service/signin	v1.0.11
github.com/aws/aws-sdk-go-v2/service/sso	v1.30.17
github.com/aws/aws-sdk-go-v2/service/ssooidc	v1.36.0
github.com/aws/aws-sdk-go-v2/service/sts	v1.44.0
github.com/aws/smithy-go	v1.27.3
github.com/awslabs/amazon-ecr-credential-helper/ecr-login	v0.12.0
github.com/beevik/ntp	v1.5.0
github.com/beorn7/perks	v1.0.1
github.com/bgentry/speakeasy	v0.2.0
github.com/blang/semver	v3.5.1+incompatible
github.com/blang/semver/v4	v4.0.0
github.com/bmatcuk/doublestar/v4	v4.0.2
github.com/bufbuild/protocompile	v0.14.1
github.com/buildkite/agent/v3	v3.127.2
github.com/buildkite/go-pipeline	v0.17.1
github.com/buildkite/interpolate	v0.1.5
github.com/buildkite/roko	v1.4.0
github.com/bytecodealliance/wasmtime-go/v44	v44.0.0
github.com/cactus/go-statsd-client/v5	v5.0.0
github.com/cavaliercoder/badio	v0.0.0-20160213150051-ce5280129e9e
github.com/cavaliercoder/go-rpm	v0.0.0-20200122174316-8cb9fd9c31a8
github.com/cavaliergopher/cpio	v1.0.1
github.com/cenkalti/backoff/v4	v4.3.0
github.com/cenkalti/backoff/v5	v5.0.3
github.com/census-instrumentation/opencensus-proto	v0.4.1
github.com/cespare/xxhash/v2	v2.3.0
github.com/chainguard-dev/clog	v1.8.0
github.com/cheggaaa/pb/v3	v3.1.6
github.com/chrismellard/docker-credential-acr-env	v0.0.0-20230304212654-82a0ddb27589
github.com/chzyer/logex	v1.1.10
github.com/chzyer/readline	v1.5.1
github.com/chzyer/test	v0.0.0-20180213035817-a1ea475d72b1
github.com/circonus-labs/circonus-gometrics	v2.3.1+incompatible
github.com/circonus-labs/circonusllhist	v0.1.3
github.com/clbanning/mxj/v2	v2.7.0
github.com/clipperhouse/displaywidth	v0.10.0
github.com/clipperhouse/uax29/v2	v2.6.0
github.com/cncf/xds/go	v0.0.0-20260202195803-dba9d589def2
github.com/cockroachdb/apd/v3	v3.2.1
github.com/codahale/rfc6979	v0.0.0-20141003034818-6a90f24967eb
github.com/common-nighthawk/go-figure	v0.0.0-20210622060536-734e95fb86be
github.com/containerd/errdefs	v1.0.0
github.com/containerd/errdefs/pkg	v0.3.0
github.com/containerd/log	v0.1.0
github.com/containerd/typeurl/v2	v2.2.0
github.com/coreos/go-oidc/v3	v3.18.0
github.com/coreos/go-semver	v0.3.1
github.com/coreos/go-systemd/v22	v22.7.0
github.com/cpuguy83/go-md2man/v2	v2.0.7
github.com/creack/pty	v1.1.24
github.com/cyberphone/json-canonicalization	v0.0.0-20241213102144-19d51d7fe467
github.com/danieljoos/wincred	v1.2.3
github.com/davecgh/go-spew	v1.1.2-0.20180830191138-d8f796af33cc
github.com/decred/dcrd/crypto/blake256	v1.1.0
github.com/decred/dcrd/dcrec/secp256k1/v4	v4.4.1
github.com/denisenkom/go-mssqldb	v0.0.0-20191124224453-732737034ffd
github.com/depcheck-test/depcheck-test	v0.0.0-20220607135614-199033aaa936
github.com/dgraph-io/badger/v4	v4.9.2
github.com/dgraph-io/ristretto/v2	v2.2.0
github.com/dgryski/go-rendezvous	v0.0.0-20200823014737-9f7001d12a5f
github.com/dgryski/trifles	v0.0.0-20230903005119-f50d829f2e54
github.com/digitorus/pkcs7	v0.0.0-20230818184609-3a137a874352
github.com/digitorus/timestamp	v0.0.0-20231217203849-220c5c2851b7
github.com/dimchansky/utfbom	v1.1.1
github.com/distribution/reference	v0.6.0
github.com/docker/cli	v29.5.3+incompatible
github.com/docker/docker-credential-helpers	v0.9.5
github.com/docker/go-connections	v0.7.0
github.com/docker/go-units	v0.5.0
github.com/dustin/go-humanize	v1.0.1
github.com/ebitengine/purego	v0.10.0
github.com/eggsampler/acme/v3	v3.6.2
github.com/emicklei/go-restful/v3	v3.13.0
github.com/emicklei/proto	v1.14.3
github.com/envoyproxy/go-control-plane	v0.14.0
github.com/envoyproxy/go-control-plane/envoy	v1.37.0
github.com/envoyproxy/go-control-plane/ratelimit	v0.1.0
github.com/envoyproxy/protoc-gen-validate	v1.3.3
github.com/erikstmartin/go-testdb	v0.0.0-20160219214506-8d10e4a1bae5
github.com/evanphx/json-patch	v0.5.2
github.com/evanphx/json-patch/v5	v5.9.11
github.com/fatih/color	v1.19.0
github.com/fatih/structs	v1.1.0
github.com/felixge/httpsnoop	v1.1.0
github.com/flynn/go-docopt	v0.0.0-20140912013429-f6dd2ebbb31e
github.com/fortytw2/leaktest	v1.3.0
github.com/foxcpp/go-mockdns	v1.2.0
github.com/frankban/quicktest	v1.14.6
github.com/fsnotify/fsnotify	v1.10.1
github.com/fullsailor/pkcs7	v0.0.0-20190404230743-d7302db945fa
github.com/fullstorydev/grpcurl	v1.9.3
github.com/fxamacker/cbor/v2	v2.9.0
github.com/gabriel-vasile/mimetype	v1.4.13
github.com/go-asn1-ber/asn1-ber	v1.5.7
github.com/go-chi/chi/v5	v5.3.0
github.com/go-jose/go-jose/v3	v3.0.5
github.com/go-jose/go-jose/v4	v4.1.4
github.com/go-ldap/ldap/v3	v3.4.10
github.com/go-logr/logr	v1.4.3
github.com/go-logr/stdr	v1.2.2
github.com/go-logr/zapr	v1.3.0
github.com/go-ole/go-ole	v1.2.6
github.com/go-openapi/analysis	v0.25.2
github.com/go-openapi/errors	v0.22.8
github.com/go-openapi/jsonpointer	v0.23.1
github.com/go-openapi/jsonreference	v0.21.6
github.com/go-openapi/loads	v0.24.0
github.com/go-openapi/runtime	v0.32.4
github.com/go-openapi/runtime/server-middleware	v0.30.0
github.com/go-openapi/spec	v0.22.6
github.com/go-openapi/strfmt	v0.26.4
github.com/go-openapi/swag	v0.26.1
github.com/go-openapi/swag/cmdutils	v0.26.1
github.com/go-openapi/swag/conv	v0.26.1
github.com/go-openapi/swag/fileutils	v0.26.1
github.com/go-openapi/swag/jsonname	v0.26.1
github.com/go-openapi/swag/jsonutils	v0.26.1
github.com/go-openapi/swag/jsonutils/fixtures_test	v0.26.1
github.com/go-openapi/swag/loading	v0.26.1
github.com/go-openapi/swag/mangling	v0.26.1
github.com/go-openapi/swag/netutils	v0.26.1
github.com/go-openapi/swag/stringutils	v0.26.1
github.com/go-openapi/swag/typeutils	v0.26.1
github.com/go-openapi/swag/yamlutils	v0.26.1
github.com/go-openapi/testify/enable/yaml/v2	v2.5.1
github.com/go-openapi/testify/v2	v2.6.0
github.com/go-openapi/validate	v0.26.0
github.com/go-piv/piv-go/v2	v2.6.0
github.com/go-playground/locales	v0.14.1
github.com/go-playground/universal-translator	v0.18.1
github.com/go-playground/validator/v10	v10.30.3
github.com/go-redis/redismock/v9	v9.2.0
github.com/go-rod/rod	v0.116.2
github.com/go-sql-driver/mysql	v1.10.0
github.com/go-task/slim-sprig	v0.0.0-20210107165309-348f09dbbbc0
github.com/go-task/slim-sprig/v3	v3.0.0
github.com/go-test/deep	v1.1.1
github.com/go-viper/mapstructure/v2	v2.5.0
github.com/gobwas/glob	v0.2.3
github.com/goccy/go-json	v0.10.6
github.com/godbus/dbus/v5	v5.2.2
github.com/gofrs/uuid/v5	v5.4.0
github.com/gogo/googleapis	v0.0.0-20180223154316-0cd9801be74a
github.com/gogo/protobuf	v1.3.2
github.com/gogo/status	v1.1.1
github.com/golang-jwt/jwt/v4	v4.5.2
github.com/golang-jwt/jwt/v5	v5.3.1
github.com/golang-sql/civil	v0.0.0-20220223132316-b832511892a9
github.com/golang-sql/sqlexp	v0.1.0
github.com/golang/glog	v1.2.5
github.com/golang/groupcache	v0.0.0-20241129210726-2c02b8208cf8
github.com/golang/mock	v1.7.0-rc.1
github.com/golang/protobuf	v1.5.4
github.com/golang/snappy	v0.0.4
github.com/google/addlicense	v1.1.1
github.com/google/btree	v1.1.3
github.com/google/cel-go	v0.26.0
github.com/google/certificate-transparency-go	v1.3.3
github.com/google/flatbuffers	v25.2.10+incompatible
github.com/google/gnostic-models	v0.7.0
github.com/google/go-attestation	v0.5.1
github.com/google/go-cmp	v0.7.0
github.com/google/go-configfs-tsm	v0.3.3-0.20240919001351-b4b5b84fdcbc
github.com/google/go-containerregistry	v0.21.7
github.com/google/go-eventlog	v0.0.3-0.20260416001248-6807b85eecf0
github.com/google/go-github/v88	v88.0.0
github.com/google/go-pkcs11	v0.3.0
github.com/google/go-querystring	v1.2.0
github.com/google/go-sev-guest	v0.14.0
github.com/google/go-tdx-guest	v0.3.2-0.20250814004405-ffb0869e6f4d
github.com/google/go-tpm	v0.9.8
github.com/google/go-tpm-tools	v0.4.9
github.com/google/go-tspi	v0.3.0
github.com/google/gofuzz	v1.2.0
github.com/google/logger	v1.1.1
github.com/google/martian/v3	v3.3.3
github.com/google/pprof	v0.0.0-20260402051712-545e8a4df936
github.com/google/rpmpack	v0.7.1
github.com/google/s2a-go	v0.1.9
github.com/google/trillian	v1.7.3
github.com/google/uuid	v1.6.0
github.com/google/wire	v0.7.0
github.com/googleapis/enterprise-certificate-proxy	v0.3.17
github.com/googleapis/gax-go/v2	v2.23.0
github.com/gorilla/handlers	v1.5.2
github.com/gorilla/websocket	v1.5.4-0.20250319132907-e064f32e3674
github.com/grpc-ecosystem/go-grpc-middleware	v1.4.0
github.com/grpc-ecosystem/go-grpc-middleware/providers/prometheus	v1.1.0
github.com/grpc-ecosystem/go-grpc-middleware/v2	v2.3.3
github.com/grpc-ecosystem/grpc-gateway/v2	v2.29.0
github.com/hanwen/go-fuse/v2	v2.10.1
github.com/hashicorp/cap/ldap	v0.0.0-20250911140431-44d01434c285
github.com/hashicorp/errwrap	v1.1.0
github.com/hashicorp/go-cleanhttp	v0.5.2
github.com/hashicorp/go-hclog	v1.6.3
github.com/hashicorp/go-hmac-drbg	v0.0.0-20210916214228-a6e5a68489f6
github.com/hashicorp/go-immutable-radix	v1.3.1
github.com/hashicorp/go-kms-wrapping/entropy/v2	v2.0.1
github.com/hashicorp/go-kms-wrapping/v2	v2.0.18
github.com/hashicorp/go-metrics	v0.6.0
github.com/hashicorp/go-multierror	v1.1.1
github.com/hashicorp/go-plugin	v1.8.0
github.com/hashicorp/go-retryablehttp	v0.7.8
github.com/hashicorp/go-rootcerts	v1.0.2
github.com/hashicorp/go-secure-stdlib/base62	v0.1.2
github.com/hashicorp/go-secure-stdlib/cryptoutil	v0.1.1
github.com/hashicorp/go-secure-stdlib/mlock	v0.1.3
github.com/hashicorp/go-secure-stdlib/parseutil	v0.2.0
github.com/hashicorp/go-secure-stdlib/password	v0.1.4
github.com/hashicorp/go-secure-stdlib/permitpool	v1.0.0
github.com/hashicorp/go-secure-stdlib/plugincontainer	v0.5.0
github.com/hashicorp/go-secure-stdlib/regexp	v1.0.0
github.com/hashicorp/go-secure-stdlib/strutil	v0.1.2
github.com/hashicorp/go-secure-stdlib/tlsutil	v0.1.3
github.com/hashicorp/go-sockaddr	v1.0.7
github.com/hashicorp/go-uuid	v1.0.3
github.com/hashicorp/go-version	v1.7.0
github.com/hashicorp/golang-lru	v1.0.2
github.com/hashicorp/golang-lru/v2	v2.0.7
github.com/hashicorp/hcl	v1.0.1-vault-7
github.com/hashicorp/vault/api	v1.23.0
github.com/hashicorp/vault/sdk	v0.25.1
github.com/hashicorp/yamux	v0.1.2
github.com/howeyc/gopass	v0.0.0-20210920133722-c8aef6fb66ef
github.com/hpcloud/tail	v1.0.0
github.com/huandu/go-clone	v1.7.3
github.com/huandu/go-sqlbuilder	v1.41.0
github.com/huandu/xstrings	v1.5.0
github.com/iancoleman/strcase	v0.3.0
github.com/ianlancetaylor/demangle	v0.0.0-20200824232613-28f6c0f3b639
github.com/imdario/mergo	v0.3.16
github.com/in-toto/attestation	v1.2.0
github.com/in-toto/in-toto-golang	v0.11.0
github.com/inconshreveable/mousetrap	v1.1.0
github.com/jackc/chunkreader/v2	v2.0.1
github.com/jackc/pgconn	v1.14.3
github.com/jackc/pgio	v1.0.0
github.com/jackc/pgpassfile	v1.0.0
github.com/jackc/pgproto3/v2	v2.3.3
github.com/jackc/pgservicefile	v0.0.0-20240606120523-5a60cdf6a761
github.com/jackc/pgtype	v1.14.4
github.com/jackc/pgx/v4	v4.18.3
github.com/jackc/pgx/v5	v5.10.0
github.com/jackc/puddle/v2	v2.2.2
github.com/jedisct1/go-minisign	v0.0.0-20230811132847-661be99b8267
github.com/jellydator/ttlcache/v3	v3.4.0
github.com/jessevdk/go-flags	v1.6.1
github.com/jhump/protoreflect	v1.17.0
github.com/jinzhu/gorm	v1.9.16
github.com/jinzhu/inflection	v1.0.0
github.com/jinzhu/now	v1.0.1
github.com/jmespath/go-jmespath	v0.4.1-0.20220621161143-b0104c826a24
github.com/jmhodges/clock	v1.2.0
github.com/jmoiron/sqlx	v1.4.0
github.com/jonboulle/clockwork	v0.5.0
github.com/josharian/intern	v1.0.0
github.com/joshlf/go-acl	v0.0.0-20200411065538-eae00ae38531
github.com/jpillora/backoff	v1.0.0
github.com/json-iterator/go	v1.1.12
github.com/julienschmidt/httprouter	v1.3.0
github.com/kelseyhightower/envconfig	v1.4.0
github.com/keybase/go-keychain	v0.0.1
github.com/kisielk/errcheck	v1.5.0
github.com/kisielk/gotool	v1.0.0
github.com/klauspost/compress	v1.18.6
github.com/klauspost/pgzip	v1.2.6
github.com/kr/pretty	v0.3.1
github.com/kr/text	v0.2.0
github.com/kylelemons/godebug	v1.1.0
github.com/leodido/go-urn	v1.4.0
github.com/lestrrat-go/blackmagic	v1.0.4
github.com/lestrrat-go/dsig	v1.2.1
github.com/lestrrat-go/dsig-secp256k1	v1.0.0
github.com/lestrrat-go/httpcc	v1.0.1
github.com/lestrrat-go/httprc/v3	v3.0.5
github.com/lestrrat-go/jwx/v3	v3.1.1
github.com/lestrrat-go/option/v2	v2.0.0
github.com/letsencrypt/borp	v0.0.0-20251118150929-89c6927051ae
github.com/letsencrypt/boulder	v0.20260309.0
github.com/letsencrypt/challtestsrv	v1.4.2
github.com/letsencrypt/pkcs11key/v4	v4.0.0
github.com/letsencrypt/validator/v10	v10.0.0-20230215210743-a0c7dfc17158
github.com/lib/pq	v1.12.3
github.com/lufia/plan9stats	v0.0.0-20211012122336-39d0f177ccd0
github.com/lyft/protoc-gen-star/v2	v2.0.4
github.com/mailru/easyjson	v0.7.7
github.com/manifoldco/promptui	v0.9.0
github.com/mattn/go-colorable	v0.1.14
github.com/mattn/go-isatty	v0.0.20
github.com/mattn/go-runewidth	v0.0.19
github.com/mattn/go-sqlite3	v1.14.47
github.com/matttproud/golang_protobuf_extensions	v1.0.1
github.com/microsoft/go-mssqldb	v1.10.0
github.com/miekg/dns	v1.1.62
github.com/miekg/pkcs11	v1.1.2
github.com/mitchellh/cli	v1.1.5
github.com/mitchellh/copystructure	v1.2.0
github.com/mitchellh/go-homedir	v1.1.0
github.com/mitchellh/go-testing-interface	v0.0.0-20171004221916-a61a99592b77
github.com/mitchellh/go-wordwrap	v1.0.1
github.com/mitchellh/mapstructure	v1.5.1-0.20231216201459-8508981c8b6c
github.com/mitchellh/reflectwalk	v1.0.2
github.com/moby/docker-image-spec	v1.3.1
github.com/moby/go-archive	v0.1.0
github.com/moby/moby/api	v1.55.0
github.com/moby/moby/client	v0.5.0
github.com/moby/patternmatcher	v0.6.0
github.com/moby/spdystream	v0.5.1
github.com/moby/sys/sequential	v0.6.0
