github.com/cespare/xxhash/v2	v2.1.1
github.com/dgrijalva/jwt-go	v3.2.0+incompatible
github.com/dgryski/go-rendezvous	v0.0.0-20200624174652-8d2f3be8b2d9
github.com/fsnotify/fsnotify	v1.4.7
github.com/gin-contrib/sse	v0.1.0
github.com/gin-gonic/gin	v1.6.3
github.com/go-playground/locales	v0.13.0
github.com/go-playground/universal-translator	v0.17.0
github.com/go-playground/validator/v10	v10.2.0
github.com/go-redis/redis/v8	v8.0.0-beta.7
github.com/go-sql-driver/mysql	v1.5.0
github.com/golang/protobuf	v1.4.2
github.com/hashicorp/hcl	v1.0.0
github.com/jinzhu/gorm	v1.9.15
github.com/jinzhu/inflection	v1.0.0
github.com/leodido/go-urn	v1.2.0
github.com/lib/pq	v1.1.1
github.com/magiconair/properties	v1.8.1
github.com/mattn/go-isatty	v0.0.12
github.com/mattn/go-sqlite3	v1.14.0
github.com/mitchellh/mapstructure	v1.1.2
github.com/pelletier/go-toml	v1.2.0
github.com/spf13/afero	v1.1.2
github.com/spf13/cast	v1.3.0
github.com/spf13/jwalterweatherman	v1.0.0
github.com/spf13/pflag	v1.0.3
github.com/spf13/viper	v1.7.1
github.com/subosito/gotenv	v1.2.0
github.com/ugorji/go/codec	v1.1.7
go.opentelemetry.io/otel	v0.7.0
golang.org/x/crypto	v0.0.0-20200728195943-123391ffb6de
golang.org/x/exp	v0.0.0-20200513190911-00229845015e
golang.org/x/sys	v0.0.0-20200323222414-85ca7c5b95cd
golang.org/x/text	v0.3.2
google.golang.org/grpc	v1.30.0
google.golang.org/protobuf	v1.23.0
gopkg.in/ini.v1	v1.51.0
gopkg.in/yaml.v2	v2.2.8
