github.com/AlekSi/pointer	v1.2.0
github.com/PuerkitoBio/goquery	v1.5.1
github.com/andybalholm/cascadia	v1.1.0
github.com/brianvoe/gofakeit/v6	v6.14.3
github.com/cockroachdb/apd	v1.1.0
github.com/davecgh/go-spew	v1.1.0
github.com/denisenkom/go-mssqldb	v0.10.0
github.com/go-sql-driver/mysql	v1.6.0
github.com/gofrs/uuid	v4.2.0+incompatible
github.com/golang-sql/civil	v0.0.0-20190719163853-cb61b32ac6fe
github.com/jackc/fake	v0.0.0-20150926172116-812a484cc733
github.com/jackc/pgx	v3.6.2+incompatible
github.com/lib/pq	v1.8.0
github.com/mattn/go-sqlite3	v1.14.0
github.com/pkg/errors	v0.9.1
github.com/pmezard/go-difflib	v1.0.0
github.com/shopspring/decimal	v1.3.1
github.com/stretchr/objx	v0.1.0
github.com/stretchr/testify	v1.7.0
golang.org/x/crypto	v0.0.0-20190325154230-a5d413f7728c
golang.org/x/net	v0.0.0-20200324143707-d3edc9973b7e
golang.org/x/sys	v0.0.0-20200323222414-85ca7c5b95cd
golang.org/x/text	v0.3.0
gopkg.in/check.v1	v0.0.0-20161208181325-20d25e280405
gopkg.in/yaml.v3	v3.0.0-20200313102051-9f266ea9e77c
