github.com/boombuler/barcode	v1.0.1
github.com/creack/pty	v1.1.9
github.com/davecgh/go-spew	v1.1.1
github.com/go-sql-driver/mysql	v1.7.0
github.com/golang-jwt/jwt/v5	v5.0.0
github.com/jackc/pgpassfile	v1.0.0
github.com/jackc/pgservicefile	v0.0.0-20221227161230-091c0ba34f0a
github.com/jackc/pgx/v5	v5.3.0
github.com/jackc/puddle/v2	v2.2.0
github.com/jinzhu/inflection	v1.0.0
github.com/jinzhu/now	v1.1.5
github.com/kr/pretty	v0.3.0
github.com/kr/pty	v1.1.1
github.com/kr/text	v0.2.0
github.com/mattn/go-sqlite3	v1.14.16
github.com/mohae/deepcopy	v0.0.0-20170929034955-c48cc78d4826
github.com/nfnt/resize	v0.0.0-20180221191011-83c6a9932646
github.com/pmezard/go-difflib	v1.0.0
github.com/pquerna/otp	v1.4.0
github.com/richardlehane/mscfb	v1.0.4
github.com/richardlehane/msoleps	v1.0.3
github.com/rogpeppe/go-internal	v1.6.1
github.com/stretchr/objx	v0.5.0
github.com/stretchr/testify	v1.8.1
github.com/thlib/go-timezone-local	v0.0.0-20210907160436-ef149e42d28e
github.com/uadmin/rrd	v0.0.0-20200219090641-e438da1b7640
github.com/xuri/efp	v0.0.0-20220603152613-6918739fd470
github.com/xuri/excelize/v2	v2.7.0
github.com/xuri/nfp	v0.0.0-20220409054826-5e722a1d9e22
github.com/yuin/goldmark	v1.4.13
golang.org/x/crypto	v0.6.0
golang.org/x/image	v0.0.0-20220902085622-e7cb96979f69
golang.org/x/mod	v0.8.0
golang.org/x/net	v0.7.0
golang.org/x/sync	v0.1.0
golang.org/x/sys	v0.5.0
golang.org/x/term	v0.5.0
golang.org/x/text	v0.7.0
golang.org/x/tools	v0.1.12
golang.org/x/xerrors	v0.0.0-20190717185122-a985d3407aa7
gopkg.in/check.v1	v1.0.0-20201130134442-10cb98267c6c
gopkg.in/errgo.v2	v2.1.0
gopkg.in/yaml.v3	v3.0.1
gorm.io/driver/mysql	v1.4.7
gorm.io/driver/postgres	v1.4.8
gorm.io/driver/sqlite	v1.4.4
gorm.io/gorm	v1.24.5
