github.com/hashicorp/go-dbw
github.com/AlecAivazis/survey/v2 v2.2.9
github.com/BurntSushi/toml v0.3.1
github.com/DATA-DOG/go-sqlmock v1.5.2
github.com/Masterminds/semver/v3 v3.1.1
github.com/Netflix/go-expect v0.0.0-20180615182759-c93bf25de8e8
github.com/apex/log v1.9.0
github.com/apex/logs v1.0.0
github.com/aphistic/golf v0.0.0-20180712155816-02c07f170c5a
github.com/aphistic/sweet v0.2.0
github.com/aws/aws-sdk-go v1.20.6
github.com/aybabtme/rgbterm v0.0.0-20170906152045-cc83f3b3ce59
github.com/cpuguy83/go-md2man/v2 v2.0.0
github.com/creack/pty v1.1.9
github.com/davecgh/go-spew v1.1.1
github.com/fatih/color v1.18.0
github.com/favadi/protoc-go-inject-tag v1.3.0
github.com/frankban/quicktest v1.14.0
github.com/fsnotify/fsnotify v1.4.7
github.com/go-logfmt/logfmt v0.4.0
github.com/golang/protobuf v1.5.2
github.com/google/go-cmp v0.6.0
github.com/google/uuid v1.1.1
github.com/hashicorp/go-hclog v1.6.3
github.com/hashicorp/go-secure-stdlib/base62 v0.1.2
github.com/hashicorp/go-uuid v1.0.3
github.com/hinshun/vt10x v0.0.0-20180616224451-1954e6464174
github.com/hpcloud/tail v1.0.0
github.com/jackc/pgpassfile v1.0.0
github.com/jackc/pgservicefile v0.0.0-20240606120523-5a60cdf6a761
github.com/jackc/pgx/v5 v5.9.2
github.com/jackc/puddle/v2 v2.2.2
github.com/jinzhu/inflection v1.0.0
github.com/jinzhu/now v1.1.5
github.com/jmespath/go-jmespath v0.0.0-20180206201540-c2b33e8439af
github.com/jpillora/backoff v0.0.0-20180909062703-3050d21c67d7
github.com/kballard/go-shellquote v0.0.0-20180428030007-95032a82bc51
github.com/kisielk/sqlstruct v0.0.0-20201105191214-5f3e10d3ab46
github.com/kr/logfmt v0.0.0-20140226030751-b84e30acd515
github.com/kr/pretty v0.3.0
github.com/kr/pty v1.1.8
github.com/kr/text v0.2.0
github.com/mattn/go-colorable v0.1.14
github.com/mattn/go-isatty v0.0.20
github.com/mattn/go-sqlite3 v1.14.28
github.com/mgutz/ansi v0.0.0-20170206155736-9520e82c474b
github.com/oligot/go-mod-upgrade v0.6.1
github.com/onsi/ginkgo v1.6.0
github.com/onsi/gomega v1.5.0
github.com/pkg/diff v0.0.0-20210226163009-20ebb0f2a09e
github.com/pkg/errors v0.9.1
github.com/pmezard/go-difflib v1.0.0
github.com/rogpeppe/fastuuid v1.1.0
github.com/rogpeppe/go-internal v1.8.1-0.20211023094830-115ce09fd6b4
github.com/russross/blackfriday/v2 v2.0.1
github.com/sergi/go-diff v1.0.0
github.com/shurcooL/sanitized_anchor_name v1.0.0
github.com/smartystreets/assertions v1.0.0
github.com/smartystreets/go-aws-auth v0.0.0-20180515143844-0c1422d1fdb9
github.com/smartystreets/gunit v1.0.0
github.com/stretchr/objx v0.5.2
github.com/stretchr/testify v1.11.1
github.com/tj/assert v0.0.3
github.com/tj/go-buffer v1.1.0
github.com/tj/go-elastic v0.0.0-20171221160941-36157cbbebc2
github.com/tj/go-kinesis v0.0.0-20171128231115-08b17f58cb1b
github.com/tj/go-spin v1.1.0
github.com/urfave/cli/v2 v2.3.0
github.com/xo/dburl v0.23.7
github.com/yuin/goldmark v1.4.13
golang.org/x/crypto v0.45.0
golang.org/x/mod v0.29.0
golang.org/x/net v0.47.0
golang.org/x/sync v0.18.0
golang.org/x/sys v0.38.0
golang.org/x/telemetry v0.0.0-20251008203120-078029d740a8
golang.org/x/term v0.37.0
golang.org/x/text v0.31.0
golang.org/x/tools v0.38.0
golang.org/x/xerrors v0.0.0-20200804184101-5ec99f83aff1
google.golang.org/protobuf v1.34.2
gopkg.in/check.v1 v1.0.0-20201130134442-10cb98267c6c
gopkg.in/errgo.v2 v2.1.0
gopkg.in/fsnotify.v1 v1.4.7
gopkg.in/tomb.v1 v1.0.0-20141024135613-dd632973f1e7
gopkg.in/yaml.v2 v2.2.3
gopkg.in/yaml.v3 v3.0.1
gorm.io/driver/postgres v1.5.11
gorm.io/driver/sqlite v1.5.7
gorm.io/gorm v1.25.12
mvdan.cc/gofumpt v0.2.0
