github.com/go-gota/gota
dmitri.shuralyov.com/gpu/mtl v0.0.0-20190408044501-666a987793e9
gioui.org v0.0.0-20210308172011-57750fc8a0a6
github.com/BurntSushi/xgb v0.0.0-20160522181843-27f122750802
github.com/ajstarks/svgo v0.0.0-20180226025133-644b8db467af
github.com/boombuler/barcode v1.0.0
github.com/davecgh/go-spew v1.1.0
github.com/fogleman/gg v1.3.0
github.com/go-fonts/dejavu v0.1.0
github.com/go-fonts/latin-modern v0.2.0
github.com/go-fonts/liberation v0.1.1
github.com/go-fonts/stix v0.1.0
github.com/go-gl/glfw v0.0.0-20190409004039-e6da0acd62b1
github.com/go-latex/latex v0.0.0-20210118124228-b3d85cf34e07
github.com/golang/freetype v0.0.0-20170609003504-e2365dfdc4a0
github.com/jung-kurt/gofpdf v1.0.3-0.20190309125859-24315acbbda5
github.com/phpdave11/gofpdf v1.4.2
github.com/phpdave11/gofpdi v1.0.12
github.com/pkg/errors v0.9.1
github.com/pmezard/go-difflib v1.0.0
github.com/ruudk/golang-pdf417 v0.0.0-20181029194003-1af4ab5afa58
github.com/stretchr/testify v1.2.2
golang.org/x/crypto v0.0.0-20190510104115-cbcb75029529
golang.org/x/exp v0.0.0-20191002040644-a1355ae1e2c3
golang.org/x/image v0.0.0-20210216034530-4410531fe030
golang.org/x/mobile v0.0.0-20190719004257-d2bd2a29d028
golang.org/x/mod v0.1.0
golang.org/x/net v0.0.0-20210423184538-5f58ad60dda6
golang.org/x/sync v0.0.0-20190423024810-112230192c58
golang.org/x/sys v0.0.0-20210423082822-04245dca01da
golang.org/x/term v0.0.0-20201126162022-7de9c90e9dd1
golang.org/x/text v0.3.6
golang.org/x/tools v0.0.0-20190927191325-030b2cf1153e
golang.org/x/xerrors v0.0.0-20190717185122-a985d3407aa7
gonum.org/v1/gonum v0.9.1
gonum.org/v1/netlib v0.0.0-20190313105609-8cb42192e0e0
gonum.org/v1/plot v0.9.0
rsc.io/pdf v0.1.1
