github.com/BurntSushi/toml	v0.3.1
github.com/codegangsta/inject	v0.0.0-20140425184007-37d7f8432a3e
github.com/codeskyblue/go-sh	v0.0.0-20170112005953-b097669b1569
github.com/davecgh/go-spew	v1.1.1
github.com/fsnotify/fsnotify	v1.4.7
github.com/hashicorp/hcl	v1.0.0
github.com/inconshreveable/mousetrap	v1.1.0
github.com/kr/pretty	v0.1.0
github.com/kr/text	v0.1.0
github.com/logrusorgru/aurora	v0.0.0-20190803045625-94edacc10f9b
github.com/magiconair/properties	v1.8.0
github.com/mitchellh/mapstructure	v1.1.2
github.com/pelletier/go-toml	v1.2.0
github.com/pmezard/go-difflib	v1.0.0
github.com/spf13/afero	v1.1.2
github.com/spf13/cast	v1.3.0
github.com/spf13/cobra	v1.10.2
github.com/spf13/jwalterweatherman	v1.0.0
github.com/spf13/pflag	v1.0.9
github.com/spf13/viper	v1.4.0
github.com/stretchr/testify	v1.4.0
golang.org/x/lint	v0.0.0-20241112194109-818c5a804067
golang.org/x/sys	v0.41.0
golang.org/x/term	v0.40.0
golang.org/x/text	v0.3.0
golang.org/x/tools	v0.42.0
gopkg.in/check.v1	v1.0.0-20190902080502-41f04d3bba15
gopkg.in/yaml.v2	v2.2.2
gopkg.in/yaml.v3	v3.0.0-20190709130402-674ba3eaed22
