github.com/DataDog/datadog-go	v2.2.0%2Bincompatible
github.com/ProtonMail/go-crypto	v0.0.0-20210428141323-04723f9f07d7
github.com/PuerkitoBio/purell	v1.1.0
github.com/PuerkitoBio/urlesc	v0.0.0-20170810143723-de5bf2ad4578
github.com/agext/levenshtein	v1.2.2
github.com/apparentlymart/go-dump	v0.0.0-20190214190832-042adf3cf4a0
github.com/apparentlymart/go-textseg/v13	v13.0.0
github.com/armon/go-metrics	v0.0.0-20190430140413-ec5e00d3c878
github.com/asaskevich/govalidator	v0.0.0-20190424111038-f61b66f89f4a
github.com/davecgh/go-spew	v1.1.1
github.com/dikhan/http_goclient	v0.0.0-20181010015730-b9de9b5ee7b6
github.com/dikhan/terraform-provider-openapi	v0.31.1
github.com/dimfeld/httppath	v0.0.0-20170720192232-ee938bf73598
github.com/dimfeld/httptreemux	v5.0.1%2Bincompatible
github.com/emirpasic/gods	v1.12.0
github.com/fatih/color	v1.7.0
github.com/fsnotify/fsnotify	v1.4.7
github.com/go-git/gcfg	v1.5.0
github.com/go-git/go-billy/v5	v5.3.1
github.com/go-git/go-git/v5	v5.4.2
github.com/go-openapi/analysis	v0.0.0-20171215055114-2bbaa248df98
github.com/go-openapi/errors	v0.0.0-20170426151106-03cfca65330d
github.com/go-openapi/jsonpointer	v0.17.0
github.com/go-openapi/jsonreference	v0.17.0
github.com/go-openapi/loads	v0.0.0-20171207192234-2a2b323bab96
github.com/go-openapi/spec	v0.19.0
github.com/go-openapi/strfmt	v0.0.0-20171222154016-4dd3d302e100
github.com/go-openapi/swag	v0.17.0
github.com/go-test/deep	v1.0.3
github.com/goadesign/goa	v1.3.1
github.com/golang/protobuf	v1.3.2
github.com/golang/protobuf	v1.5.2
github.com/google/go-cmp	v0.5.8
github.com/google/gxui	v0.0.0-20151028112939-f85e0a97b3a4
github.com/gopherjs/gopherjs	v0.0.0-20190915194858-d3ddacdb130f
github.com/gorilla/context	v1.1.1
github.com/gorilla/mux	v1.6.2
github.com/hashicorp/errwrap	v1.0.0
github.com/hashicorp/go-checkpoint	v0.5.0
github.com/hashicorp/go-cleanhttp	v0.5.2
github.com/hashicorp/go-cty	v1.4.1-0.20200414143053-d3edf31b6320
github.com/hashicorp/go-hclog	v1.2.0
github.com/hashicorp/go-immutable-radix	v1.0.0
github.com/hashicorp/go-multierror	v1.1.1
github.com/hashicorp/go-plugin	v1.4.3
github.com/hashicorp/go-uuid	v1.0.2
github.com/hashicorp/go-uuid	v1.0.3
github.com/hashicorp/go-version	v1.4.0
github.com/hashicorp/golang-lru	v0.5.1
github.com/hashicorp/hc-install	v0.3.2
github.com/hashicorp/hcl/v2	v2.12.0
github.com/hashicorp/logutils	v1.0.0
