dmitri.shuralyov.com/gpu/mtl	v0.0.0-20190408044501-666a987793e9
gioui.org	v0.0.0-20210308172011-57750fc8a0a6
git.sr.ht/~sbinet/gg	v0.3.1
github.com/BurntSushi/toml	v0.3.1
github.com/BurntSushi/xgb	v0.0.0-20160522181843-27f122750802
github.com/ClickHouse/clickhouse-go	v1.5.4
github.com/Masterminds/semver/v3	v3.1.1
github.com/VictoriaMetrics/metrics	v1.18.1
github.com/agext/levenshtein	v1.2.1
github.com/ajstarks/deck	v0.0.0-20200831202436-30c9fc6549a9
github.com/ajstarks/deck/generate	v0.0.0-20210309230005-c3f852c02e19
github.com/ajstarks/svgo	v0.0.0-20211024235047-1546f124cd8b
github.com/apparentlymart/go-dump	v0.0.0-20180507223929-23540a00eaa3
github.com/apparentlymart/go-textseg	v1.0.0
github.com/apparentlymart/go-textseg/v13	v13.0.0
github.com/aws/aws-sdk-go	v1.43.18
github.com/benbjohnson/clock	v1.1.0
github.com/bkaradzic/go-lz4	v1.0.0
github.com/boombuler/barcode	v1.0.1
github.com/chzyer/logex	v1.1.10
github.com/chzyer/readline	v0.0.0-20180603132655-2972be24d48e
github.com/chzyer/test	v0.0.0-20180213035817-a1ea475d72b1
github.com/cloudflare/golz4	v0.0.0-20150217214814-ef862a3cdc58
github.com/cockroachdb/apd	v1.1.0
github.com/coreos/go-systemd	v0.0.0-20190719114852-fd7a80b32e1f
github.com/creack/pty	v1.1.7
github.com/davecgh/go-spew	v1.1.1
github.com/deckarep/gosx-notifier	v0.0.0-20180201035817-e127226297fb
github.com/diamondburned/arikawa	v1.3.14
github.com/fatih/color	v1.13.0
github.com/fogleman/gg	v1.3.0
github.com/go-chi/chi	v1.5.4
github.com/go-fonts/dejavu	v0.1.0
github.com/go-fonts/latin-modern	v0.2.0
github.com/go-fonts/liberation	v0.2.0
github.com/go-fonts/stix	v0.1.0
github.com/go-gl/glfw	v0.0.0-20190409004039-e6da0acd62b1
github.com/go-kit/log	v0.1.0
github.com/go-latex/latex	v0.0.0-20210823091927-c0d11ff05a81
github.com/go-logfmt/logfmt	v0.5.0
github.com/go-pdf/fpdf	v0.5.0
github.com/go-sql-driver/mysql	v1.6.0
github.com/go-stack/stack	v1.8.0
github.com/go-test/deep	v1.0.4
github.com/gofrs/uuid	v4.0.0+incompatible
github.com/golang/freetype	v0.0.0-20170609003504-e2365dfdc4a0
github.com/golang/protobuf	v1.3.4
github.com/google/go-cmp	v0.5.7
github.com/google/renameio	v0.1.0
github.com/gorilla/schema	v1.2.0
github.com/gorilla/websocket	v1.5.0
github.com/hashicorp/hcl/v2	v2.11.1
github.com/jackc/chunkreader	v1.0.0
github.com/jackc/chunkreader/v2	v2.0.1
github.com/jackc/pgconn	v1.11.0
github.com/jackc/pgio	v1.0.0
github.com/jackc/pgmock	v0.0.0-20210724152146-4ad1a8207f65
github.com/jackc/pgpassfile	v1.0.0
github.com/jackc/pgproto3	v1.1.0
github.com/jackc/pgproto3/v2	v2.2.0
github.com/jackc/pgservicefile	v0.0.0-20200714003250-2b9c44734f2b
github.com/jackc/pgtype	v1.10.0
