github.com/andreyvit/diff	v0.0.0-20170406064948-c7f18ee00883
github.com/armon/consul-api	v0.0.0-20180202201655-eb2c6b5be1b6
github.com/awnumar/memguard	v0.17.1
github.com/burntsushi/toml	v0.3.1
github.com/coreos/etcd	v3.3.10%2Bincompatible
github.com/coreos/go-etcd	v2.0.0%2Bincompatible
github.com/coreos/go-semver	v0.2.0
github.com/cpuguy83/go-md2man	v1.0.10
github.com/davecgh/go-spew	v1.1.1
github.com/fsnotify/fsnotify	v1.4.7
github.com/gofrs/uuid	v3.2.0%2Bincompatible
github.com/gorilla/websocket	v1.4.1
github.com/hashicorp/hcl	v1.0.0
github.com/hpcloud/tail	v1.0.0
github.com/inconshreveable/mousetrap	v1.0.0
github.com/kardianos/osext	v0.0.0-20190222173326-2bc1f35cddc0
github.com/kevinburke/ssh_config	v0.0.0-20190630040420-2e50c441276c
github.com/konsorten/go-windows-terminal-sequences	v1.0.3
github.com/kr/pretty	v0.1.0
github.com/kr/pty	v1.1.1
github.com/kr/text	v0.1.0
github.com/magiconair/properties	v1.8.0
github.com/mitchellh/go-homedir	v1.1.0
github.com/mitchellh/go-ps	v1.0.0
github.com/mitchellh/mapstructure	v1.4.1
github.com/pelletier/go-buffruneio	v0.2.0
github.com/pelletier/go-toml	v1.2.0
github.com/phayes/freeport	v0.0.0-20180830031419-95f893ade6f2
github.com/pmezard/go-difflib	v1.0.0
github.com/russross/blackfriday	v1.5.2
github.com/sergi/go-diff	v1.2.0
github.com/sevlyar/go-daemon	v0.1.5
github.com/sirupsen/logrus	v1.6.0
github.com/sourcegraph/jsonrpc2	v0.0.0-20200429184054-15c2290dcb37
github.com/spf13/afero	v1.1.2
github.com/spf13/cast	v1.3.0
github.com/spf13/cobra	v0.0.5
github.com/spf13/jwalterweatherman	v1.0.0
github.com/spf13/pflag	v1.0.5
github.com/spf13/viper	v1.3.2
github.com/stretchr/objx	v0.1.0
github.com/stretchr/testify	v1.4.0
github.com/ugorji/go/codec	v0.0.0-20181204163529-d75b2dcb6bc8
github.com/xordataexchange/crypt	v0.0.3-0.20170626215501-b2862e3d0a77
golang.org/x/crypto	v0.0.0-20200728195943-123391ffb6de
golang.org/x/net	v0.0.0-20190404232315-eb5bcb51f2a3
golang.org/x/sys	v0.0.0-20190626221950-04f50cda93cb
golang.org/x/text	v0.3.0
gopkg.in/check.v1	v1.0.0-20190902080502-41f04d3bba15
gopkg.in/fsnotify.v1	v1.4.7
gopkg.in/tomb.v1	v1.0.0-20141024135613-dd632973f1e7
gopkg.in/yaml.v2	v2.2.4
