github.com/PIMPfiction/govader_backend
github.com/ajstarks/svgo v0.0.0-20180226025133-644b8db467af
github.com/davecgh/go-spew v1.1.1
github.com/fogleman/gg v1.2.1-0.20190220221249-0403632d5b90
github.com/golang-jwt/jwt v3.2.2+incompatible
github.com/golang/freetype v0.0.0-20170609003504-e2365dfdc4a0
github.com/jonreiter/govader v0.0.0-20210224072402-ab79f4c25a36
github.com/jung-kurt/gofpdf v1.0.3-0.20190309125859-24315acbbda5
github.com/labstack/echo/v4 v4.7.2
github.com/labstack/gommon v0.3.1
github.com/mattn/go-colorable v0.1.11
github.com/mattn/go-isatty v0.0.14
github.com/pmezard/go-difflib v1.0.0
github.com/stretchr/objx v0.1.0
github.com/stretchr/testify v1.7.1
github.com/valyala/bytebufferpool v1.0.0
github.com/valyala/fasttemplate v1.2.1
golang.org/x/crypto v0.0.0-20210817164053-32db794688a5
golang.org/x/exp v0.0.0-20190125153040-c74c464bbbf2
golang.org/x/image v0.0.0-20180708004352-c73c2afc3b81
golang.org/x/net v0.0.0-20211015210444-4f30a5c0130f
golang.org/x/sys v0.0.0-20211103235746-7861aae1554b
golang.org/x/term v0.0.0-20201126162022-7de9c90e9dd1
golang.org/x/text v0.3.7
golang.org/x/time v0.0.0-20201208040808-7e3f01d25324
golang.org/x/tools v0.0.0-20190206041539-40960b6deb8e
gonum.org/v1/gonum v0.8.2
gonum.org/v1/netlib v0.0.0-20190313105609-8cb42192e0e0
gonum.org/v1/plot v0.0.0-20190515093506-e2840ee46a6b
gopkg.in/check.v1 v0.0.0-20161208181325-20d25e280405
gopkg.in/yaml.v3 v3.0.0-20210107192922-496545a6307b
rsc.io/pdf v0.1.1
