github.com/Workiva/go-datastructures	v1.1.7
github.com/armon/go-metrics	v0.4.1
github.com/asynkron/gofun	v0.0.0-20220329210725-34fed760f4c2
github.com/beorn7/perks	v1.0.1
github.com/cespare/xxhash/v2	v2.3.0
github.com/coreos/go-semver	v0.3.1
github.com/coreos/go-systemd/v22	v22.6.0
github.com/couchbase/gocb	v1.6.7
github.com/davecgh/go-spew	v1.1.2-0.20180830191138-d8f796af33cc
github.com/emicklei/go-restful/v3	v3.12.2
github.com/emirpasic/gods	v1.18.1
github.com/fatih/color	v1.18.0
github.com/fxamacker/cbor/v2	v2.9.0
github.com/go-logr/logr	v1.4.3
github.com/go-logr/stdr	v1.2.2
github.com/go-openapi/jsonpointer	v0.21.1
github.com/go-openapi/jsonreference	v0.21.0
github.com/go-openapi/swag	v0.23.1
github.com/go-viper/mapstructure/v2	v2.4.0
github.com/go-zookeeper/zk	v1.0.4
github.com/gogo/protobuf	v1.3.2
github.com/golang/protobuf	v1.5.4
github.com/golang/snappy	v1.0.0
github.com/google/gnostic-models	v0.7.0
github.com/google/uuid	v1.6.0
github.com/grafana/regexp	v0.0.0-20250905093917-f7b3be9d1853
github.com/grpc-ecosystem/grpc-gateway/v2	v2.27.3
github.com/hashicorp/consul/api	v1.33.0
github.com/hashicorp/errwrap	v1.1.0
github.com/hashicorp/go-cleanhttp	v0.5.2
github.com/hashicorp/go-hclog	v1.6.3
github.com/hashicorp/go-immutable-radix	v1.3.1
github.com/hashicorp/go-metrics	v0.5.4
github.com/hashicorp/go-multierror	v1.1.1
github.com/hashicorp/go-rootcerts	v1.0.2
github.com/hashicorp/golang-lru	v1.0.2
github.com/hashicorp/serf	v0.10.2
github.com/josharian/intern	v1.0.0
github.com/json-iterator/go	v1.1.12
github.com/labstack/echo/v4	v4.13.4
github.com/labstack/gommon	v0.4.2
github.com/lithammer/shortuuid/v4	v4.2.0
github.com/lmittmann/tint	v1.1.2
github.com/mailru/easyjson	v0.9.0
github.com/mattn/go-colorable	v0.1.14
github.com/mattn/go-isatty	v0.0.20
github.com/modern-go/concurrent	v0.0.0-20180306012644-bacd9c7ef1dd
github.com/modern-go/reflect2	v1.0.3-0.20250322232337-35a7c28c31ee
github.com/munnerz/goautoneg	v0.0.0-20191010083416-a7dc8b61c822
github.com/opentracing/opentracing-go	v1.2.0
github.com/orcaman/concurrent-map	v1.0.0
github.com/pkg/errors	v0.9.1
github.com/pmezard/go-difflib	v1.0.1-0.20181226105442-5d4384ee4fb2
github.com/prometheus/client_golang	v1.23.2
github.com/prometheus/client_model	v0.6.2
github.com/prometheus/common	v0.66.1
github.com/prometheus/otlptranslator	v0.0.2
github.com/prometheus/procfs	v0.17.0
github.com/serialx/hashring	v0.0.0-20200727003509-22c0c7ab6b1b
github.com/stretchr/testify	v1.11.1
github.com/twmb/murmur3	v1.1.8
github.com/valyala/bytebufferpool	v1.0.0
github.com/valyala/fasttemplate	v1.2.2
github.com/x448/float16	v0.8.4
go.etcd.io/etcd/api/v3	v3.6.6
go.etcd.io/etcd/client/pkg/v3	v3.6.6
go.etcd.io/etcd/client/v3	v3.6.6
go.opentelemetry.io/auto/sdk	v1.2.1
go.opentelemetry.io/otel	v1.38.0
go.opentelemetry.io/otel/exporters/prometheus	v0.60.0
go.opentelemetry.io/otel/metric	v1.38.0
go.opentelemetry.io/otel/sdk	v1.38.0
go.opentelemetry.io/otel/sdk/metric	v1.38.0
go.opentelemetry.io/otel/trace	v1.38.0
go.uber.org/multierr	v1.11.0
go.uber.org/zap	v1.27.0
go.yaml.in/yaml/v2	v2.4.2
go.yaml.in/yaml/v3	v3.0.4
golang.org/x/crypto	v0.45.0
golang.org/x/exp	v0.0.0-20251002181428-27f1f14c8bb9
golang.org/x/net	v0.47.0
golang.org/x/oauth2	v0.32.0
golang.org/x/sync	v0.19.0
golang.org/x/sys	v0.38.0
golang.org/x/term	v0.37.0
golang.org/x/text	v0.33.0
golang.org/x/time	v0.12.0
google.golang.org/genproto/googleapis/api	v0.0.0-20251022142026-3a174f9686a8
google.golang.org/genproto/googleapis/rpc	v0.0.0-20251022142026-3a174f9686a8
google.golang.org/grpc	v1.77.0
google.golang.org/protobuf	v1.36.10
gopkg.in/couchbase/gocbcore.v7	v7.1.18
gopkg.in/couchbaselabs/gocbconnstr.v1	v1.0.4
gopkg.in/couchbaselabs/jsonx.v1	v1.0.1
gopkg.in/evanphx/json-patch.v4	v4.12.0
gopkg.in/inf.v0	v0.9.1
gopkg.in/yaml.v3	v3.0.1
k8s.io/api	v0.34.2
k8s.io/apimachinery	v0.34.2
k8s.io/client-go	v0.34.2
k8s.io/klog/v2	v2.130.1
k8s.io/kube-openapi	v0.0.0-20250710124328-f3f2b991d03b
k8s.io/utils	v0.0.0-20250604170112-4c0f3b243397
sigs.k8s.io/json	v0.0.0-20241014173422-cfa47c3a1cc8
sigs.k8s.io/randfill	v1.0.0
sigs.k8s.io/structured-merge-diff/v6	v6.3.0
sigs.k8s.io/yaml	v1.6.0
