github.com/ajg/form	v1.7.1
github.com/davecgh/go-spew	v1.1.2-0.20180830191138-d8f796af33cc
github.com/docker/go-units	v0.5.0
github.com/go-chi/chi/v5	v5.3.0
github.com/go-chi/cors	v1.2.2
github.com/go-chi/render	v1.0.3
github.com/go-gost/relay	v0.6.1
github.com/google/btree	v1.1.3
github.com/google/shlex	v0.0.0-20191202100458-e7afc7fbc510
github.com/google/uuid	v1.6.0
github.com/gorilla/schema	v1.4.1
github.com/gorilla/websocket	v1.5.3
github.com/kr/pretty	v0.3.1
github.com/pmezard/go-difflib	v1.0.0
github.com/rogpeppe/go-internal	v1.14.1
github.com/spf13/pflag	v1.0.10
github.com/stretchr/testify	v1.11.1
go.uber.org/atomic	v1.11.0
go.uber.org/multierr	v1.11.0
go.uber.org/zap	v1.28.0
golang.org/x/crypto	v0.53.0
golang.org/x/exp	v0.0.0-20260611194520-c48552f49976
golang.org/x/net	v0.56.0
golang.org/x/sys	v0.46.0
golang.org/x/time	v0.15.0
golang.zx2c4.com/wintun	v0.0.0-20230126152724-0fa3db229ce2
golang.zx2c4.com/wireguard	v0.0.0-20260522210424-ecfc5a8d5446
gopkg.in/check.v1	v1.0.0-20201130134442-10cb98267c6c
gopkg.in/yaml.v3	v3.0.1
gvisor.dev/gvisor	v0.0.0-20260701204157-69c2d17aea96
